class,cap-shape,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,ring-number,ring-type,spore-print-color,population,habitat
e,x,w,t,l,f,c,b,w,e,c,s,s,w,w,o,p,n,n,m
e,f,n,f,n,f,c,n,k,e,e,s,s,w,w,o,p,k,y,u
e,x,y,t,a,f,w,n,n,t,b,s,s,w,w,o,p,n,v,d
e,b,y,t,l,f,c,b,g,e,c,s,s,w,w,o,p,n,n,m
p,x,w,t,p,f,c,n,k,e,e,s,s,w,w,o,p,n,s,u
e,x,y,t,l,f,c,b,n,e,c,s,s,w,w,o,p,n,n,m
e,x,n,t,l,f,c,b,p,e,r,s,y,w,w,o,p,n,y,p
e,b,y,t,l,f,c,b,n,e,c,s,s,w,w,o,p,n,s,m
e,x,y,t,l,f,w,n,w,t,b,s,s,w,w,o,p,n,v,d
e,s,g,f,n,f,c,n,k,e,e,s,s,w,w,o,p,k,v,u
p,x,n,t,p,f,c,n,w,e,e,s,s,w,w,o,p,n,s,u
e,x,y,t,a,f,w,n,p,t,b,s,s,w,w,o,p,n,v,d
e,b,y,t,l,f,c,b,k,e,c,s,s,w,w,o,p,k,s,m
e,b,y,t,a,f,c,b,n,e,c,s,s,w,w,o,p,n,s,g
e,x,y,t,l,f,c,b,n,e,r,s,y,w,w,o,p,k,y,p
e,x,n,f,n,f,c,n,g,e,e,s,s,w,w,o,p,k,y,u
p,x,w,t,p,f,c,n,p,e,e,s,s,w,w,o,p,n,v,g
e,x,y,t,a,f,c,b,w,e,c,s,s,w,w,o,p,k,n,m
e,x,w,t,a,f,c,b,n,e,c,s,s,w,w,o,p,n,n,g
e,x,y,t,l,f,c,b,k,e,c,s,s,w,w,o,p,k,s,m
e,x,w,t,l,f,c,b,w,e,c,s,s,w,w,o,p,n,n,m
e,x,y,t,l,f,c,b,n,e,r,s,y,w,w,o,p,n,s,p
e,f,y,t,l,f,c,b,w,e,r,s,y,w,w,o,p,k,s,p
e,x,n,t,a,f,c,b,w,e,r,s,y,w,w,o,p,k,s,g
e,x,w,t,l,f,c,b,k,e,c,s,s,w,w,o,p,k,s,g
e,b,w,t,l,f,c,b,k,e,c,s,s,w,w,o,p,n,n,m
p,x,n,t,p,f,c,n,k,e,e,s,s,w,w,o,p,n,v,u
p,x,w,t,p,f,c,n,k,e,e,s,s,w,w,o,p,k,v,u
e,b,y,t,a,f,c,b,w,e,c,s,s,w,w,o,p,k,s,m
e,f,g,f,n,f,w,b,n,t,e,s,s,w,w,o,e,n,a,g
e,b,w,t,a,f,c,b,w,e,c,s,s,w,w,o,p,n,n,g
e,x,y,t,l,f,c,b,k,e,c,s,s,w,w,o,p,k,n,g
e,x,n,t,a,f,c,b,p,e,r,s,y,w,w,o,p,k,y,p
e,s,g,f,n,f,c,n,k,e,e,s,s,w,w,o,p,n,v,u
e,b,y,t,a,f,c,b,k,e,c,s,s,w,w,o,p,n,s,m
e,b,y,t,l,f,c,b,g,e,c,s,s,w,w,o,p,n,s,m
e,b,y,t,l,f,c,b,g,e,c,s,s,w,w,o,p,n,n,m
e,b,w,t,l,f,c,b,n,e,c,s,s,w,w,o,p,n,s,g
e,f,n,f,n,f,w,b,k,t,e,s,s,w,w,o,e,k,a,g
e,x,w,t,l,f,c,b,n,e,c,s,s,w,w,o,p,k,s,g
e,f,y,t,a,f,c,b,w,e,r,s,y,w,w,o,p,n,s,g
e,x,y,t,a,f,c,b,w,e,c,s,s,w,w,o,p,k,n,g
e,x,g,f,n,f,c,n,p,e,e,s,s,w,w,o,p,n,v,u
e,f,y,t,l,f,w,n,p,t,b,s,s,w,w,o,p,n,v,d
e,b,w,t,l,f,c,b,g,e,c,s,s,w,w,o,p,n,s,m
e,f,y,t,l,f,w,n,w,t,b,s,s,w,w,o,p,n,v,d
e,x,n,t,a,f,c,b,p,e,r,s,y,w,w,o,p,k,s,p
e,b,y,t,a,f,c,b,k,e,c,s,s,w,w,o,p,k,s,g
e,f,y,t,l,f,w,n,p,t,b,s,s,w,w,o,p,n,v,d
e,x,w,t,l,f,w,n,n,t,b,s,s,w,w,o,p,u,v,d
e,f,n,t,l,f,c,b,p,e,r,s,y,w,w,o,p,n,y,p
p,x,n,t,p,f,c,n,w,e,e,s,s,w,w,o,p,n,v,u
e,f,n,t,a,f,c,b,n,e,r,s,y,w,w,o,p,n,y,g
e,x,n,f,n,f,w,b,k,t,e,f,s,w,w,o,e,n,s,g
p,x,w,t,p,f,c,n,w,e,e,s,s,w,w,o,p,k,s,g
e,f,g,f,n,f,c,n,n,e,e,s,s,w,w,o,p,n,y,u
e,x,g,f,n,f,w,b,n,t,e,s,s,w,w,o,e,n,s,g
e,x,y,t,l,f,c,b,w,e,r,s,y,w,w,o,p,k,s,g
e,x,n,f,n,f,w,b,k,t,e,s,s,w,w,o,e,k,s,g
e,b,w,t,a,f,c,b,w,e,c,s,s,w,w,o,p,k,s,g
e,x,w,t,l,f,c,b,n,e,c,s,s,w,w,o,p,n,s,g
e,f,n,t,l,f,c,b,w,e,r,s,y,w,w,o,p,k,y,g
e,s,n,f,n,f,c,n,n,e,e,s,s,w,w,o,p,n,v,u
e,x,n,f,n,f,c,n,n,e,e,s,s,w,w,o,p,n,y,u
e,b,w,t,l,f,c,b,k,e,c,s,s,w,w,o,p,k,s,g
e,x,y,t,a,f,c,b,g,e,c,s,s,w,w,o,p,k,s,g
e,x,y,t,l,f,c,b,g,e,c,s,s,w,w,o,p,k,n,m
e,x,n,f,n,f,w,b,n,t,e,s,s,w,w,o,e,n,a,g
e,x,w,t,a,f,c,b,g,e,c,s,s,w,w,o,p,n,s,g
e,f,n,t,l,f,c,b,p,e,r,s,y,w,w,o,p,n,s,g
e,x,y,t,a,f,c,b,n,e,c,s,s,w,w,o,p,k,n,g
e,b,w,t,a,f,c,b,g,e,c,s,s,w,w,o,p,n,s,g
e,x,w,t,a,f,c,b,g,e,c,s,s,w,w,o,p,k,s,g
e,x,n,f,n,f,w,b,p,t,e,f,s,w,w,o,e,k,s,g
e,b,y,t,l,f,c,b,n,e,c,s,s,w,w,o,p,k,n,g
e,f,y,t,l,f,c,b,w,e,r,s,y,w,w,o,p,n,s,g
e,x,y,t,a,f,c,b,n,e,r,s,y,w,w,o,p,k,y,p
e,b,w,t,l,f,c,b,g,e,c,s,s,w,w,o,p,n,n,g
e,x,y,t,a,f,c,b,n,e,c,s,s,w,w,o,p,k,n,m
e,x,y,t,a,f,c,b,w,e,r,s,y,w,w,o,p,n,y,g
e,b,w,t,l,f,c,b,n,e,c,s,s,w,w,o,p,k,s,m
e,b,w,t,a,f,c,b,g,e,c,s,s,w,w,o,p,n,s,m
e,x,y,t,a,f,c,b,k,e,c,s,s,w,w,o,p,k,n,m
e,x,y,t,l,f,c,b,w,e,c,s,s,w,w,o,p,k,n,g
e,s,g,f,n,f,c,n,g,e,e,s,s,w,w,o,p,k,y,u
e,x,w,t,a,f,w,n,w,t,b,s,s,w,w,o,p,u,v,d
e,x,y,t,a,f,c,b,n,e,c,s,s,w,w,o,p,k,n,m
p,x,w,t,p,f,c,n,n,e,e,s,s,w,w,o,p,n,v,u
e,x,y,t,l,f,c,b,p,e,r,s,y,w,w,o,p,n,s,g
e,s,g,f,n,f,c,n,p,e,e,s,s,w,w,o,p,n,y,u
e,x,y,t,l,f,c,b,w,e,r,s,y,w,w,o,p,k,y,g
e,x,y,t,l,f,w,n,p,t,b,s,s,w,w,o,p,u,v,d
e,s,n,f,n,f,c,n,k,e,e,s,s,w,w,o,p,n,y,u
p,x,w,t,p,f,c,n,k,e,e,s,s,w,w,o,p,k,v,g
e,x,w,t,a,f,c,b,g,e,c,s,s,w,w,o,p,n,n,m
p,f,n,t,p,f,c,n,p,e,e,s,s,w,w,o,p,k,v,g
e,f,g,f,n,f,w,b,k,t,e,s,s,w,w,o,e,n,a,g
e,x,y,t,l,f,c,b,g,e,c,s,s,w,w,o,p,n,s,m
e,x,w,f,n,f,w,b,n,t,e,s,f,w,w,o,e,k,s,g
e,b,y,t,a,f,c,b,w,e,c,s,s,w,w,o,p,n,n,g
e,f,g,f,n,f,w,b,h,t,e,s,s,w,w,o,e,n,a,g
e,x,w,t,l,f,c,b,n,e,c,s,s,w,w,o,p,k,n,g
e,b,w,t,l,f,c,b,n,e,c,s,s,w,w,o,p,n,s,m
e,b,w,t,l,f,c,b,w,e,c,s,s,w,w,o,p,n,s,g
e,b,w,t,l,f,c,b,w,e,c,s,s,w,w,o,p,n,s,m
e,f,w,t,l,f,w,n,w,t,b,s,s,w,w,o,p,u,v,d
e,x,y,t,l,f,c,b,g,e,c,s,s,w,w,o,p,k,s,m
e,f,w,t,a,f,w,n,p,t,b,s,s,w,w,o,p,n,v,d
p,x,w,t,p,f,c,n,w,e,e,s,s,w,w,o,p,n,v,u
e,f,w,t,l,f,w,n,w,t,b,s,s,w,w,o,p,n,v,d
e,x,y,t,a,f,c,b,n,e,c,s,s,w,w,o,p,n,s,g
p,x,n,t,p,f,c,n,p,e,e,s,s,w,w,o,p,n,v,g
e,b,y,t,l,f,c,b,w,e,c,s,s,w,w,o,p,n,n,g
e,x,n,t,a,f,c,b,w,e,r,s,y,w,w,o,p,k,y,p
e,b,y,t,l,f,c,b,g,e,c,s,s,w,w,o,p,k,n,m
e,s,n,f,n,f,c,n,k,e,e,s,s,w,w,o,p,n,v,u
e,f,n,t,a,f,c,b,w,e,r,s,y,w,w,o,p,k,y,p
e,x,y,t,a,f,c,b,k,e,c,s,s,w,w,o,p,k,n,g
e,x,g,f,n,f,w,b,k,t,e,f,f,w,w,o,e,k,s,g
e,f,w,f,n,f,w,b,k,t,e,s,f,w,w,o,e,n,a,g
e,x,y,t,l,f,c,b,w,e,c,s,s,w,w,o,p,n,n,m
e,b,y,t,l,f,c,b,k,e,c,s,s,w,w,o,p,k,n,g
e,b,w,t,a,f,c,b,g,e,c,s,s,w,w,o,p,k,n,m
e,x,w,t,a,f,c,b,w,e,c,s,s,w,w,o,p,n,s,g
e,x,n,f,n,f,w,b,p,t,e,f,s,w,w,o,e,n,a,g
e,x,w,t,l,f,c,b,g,e,c,s,s,w,w,o,p,n,s,g
e,s,n,f,n,f,c,n,k,e,e,s,s,w,w,o,p,k,v,u
e,x,w,t,a,f,w,n,w,t,b,s,s,w,w,o,p,u,v,d
e,x,n,t,l,f,c,b,w,e,r,s,y,w,w,o,p,k,s,g
e,b,y,t,a,f,c,b,k,e,c,s,s,w,w,o,p,n,n,g
e,x,w,t,a,f,c,b,k,e,c,s,s,w,w,o,p,n,n,g
e,b,w,t,a,f,c,b,n,e,c,s,s,w,w,o,p,k,s,m
e,b,y,t,a,f,c,b,g,e,c,s,s,w,w,o,p,k,s,g
e,b,y,t,l,f,c,b,g,e,c,s,s,w,w,o,p,k,s,m
e,b,y,t,a,f,c,b,n,e,c,s,s,w,w,o,p,k,n,g
e,x,n,f,n,f,c,n,k,e,e,s,s,w,w,o,p,n,y,u
e,f,n,t,l,f,c,b,n,e,r,s,y,w,w,o,p,n,y,g
e,x,w,t,a,f,c,b,k,e,c,s,s,w,w,o,p,n,s,g
e,f,y,t,l,f,c,b,w,e,r,s,y,w,w,o,p,n,y,p
e,b,w,t,a,f,c,b,w,e,c,s,s,w,w,o,p,n,s,g
e,b,w,t,a,f,c,b,w,e,c,s,s,w,w,o,p,k,s,m
e,x,n,t,l,f,c,b,w,e,r,s,y,w,w,o,p,k,y,g
e,b,w,t,a,f,c,b,k,e,c,s,s,w,w,o,p,k,s,g
e,x,g,f,n,f,c,n,g,e,e,s,s,w,w,o,p,n,y,u
e,b,y,t,l,f,c,b,k,e,c,s,s,w,w,o,p,n,s,g
e,x,y,t,l,f,w,n,n,t,b,s,s,w,w,o,p,u,v,d
e,b,y,t,a,f,c,b,w,e,c,s,s,w,w,o,p,k,s,g
e,f,y,t,l,f,c,b,p,e,r,s,y,w,w,o,p,n,s,g
e,b,w,t,l,f,c,b,w,e,c,s,s,w,w,o,p,k,n,m
e,b,w,t,a,f,c,b,k,e,c,s,s,w,w,o,p,k,n,m
e,b,y,t,a,f,c,b,g,e,c,s,s,w,w,o,p,n,s,g
e,x,y,t,l,f,c,b,g,e,c,s,s,w,w,o,p,n,n,m
e,b,y,t,l,f,c,b,g,e,c,s,s,w,w,o,p,n,n,g
p,x,w,t,p,f,c,n,p,e,e,s,s,w,w,o,p,n,v,u
e,s,n,f,n,f,c,n,g,e,e,s,s,w,w,o,p,n,y,u
e,f,n,f,n,f,c,n,g,e,e,s,s,w,w,o,p,k,v,u
e,x,y,t,a,f,c,b,g,e,c,s,s,w,w,o,p,n,s,m
e,f,n,t,a,f,c,b,p,e,r,s,y,w,w,o,p,k,s,p
p,x,w,t,p,f,c,n,k,e,e,s,s,w,w,o,p,k,s,g
e,b,w,t,l,f,c,b,g,e,c,s,s,w,w,o,p,n,s,m
e,f,g,f,n,f,c,n,p,e,e,s,s,w,w,o,p,k,v,u
e,b,y,t,l,f,c,b,g,e,c,s,s,w,w,o,p,n,n,g
e,x,n,t,a,f,c,b,w,e,r,s,y,w,w,o,p,n,y,p
e,x,w,f,n,f,w,b,p,t,e,s,f,w,w,o,e,k,s,g
e,x,w,t,l,f,w,n,w,t,b,s,s,w,w,o,p,n,v,d
e,b,w,t,l,f,c,b,w,e,c,s,s,w,w,o,p,n,s,m
e,f,y,t,a,f,w,n,w,t,b,s,s,w,w,o,p,n,v,d
e,x,y,t,a,f,c,b,k,e,c,s,s,w,w,o,p,n,n,m
e,f,g,f,n,f,c,n,g,e,e,s,s,w,w,o,p,n,y,u
e,b,y,t,a,f,c,b,n,e,c,s,s,w,w,o,p,k,s,g
e,x,w,t,l,f,c,b,g,e,c,s,s,w,w,o,p,n,n,m
e,x,w,t,l,f,c,b,n,e,c,s,s,w,w,o,p,n,s,m
e,f,w,t,a,f,w,n,n,t,b,s,s,w,w,o,p,n,v,d
e,x,y,t,l,f,c,b,w,e,c,s,s,w,w,o,p,n,s,g
e,b,w,t,l,f,c,b,w,e,c,s,s,w,w,o,p,k,s,g
e,x,w,t,a,f,c,b,g,e,c,s,s,w,w,o,p,k,n,g
e,x,w,f,n,f,w,b,h,t,e,f,s,w,w,o,e,k,s,g
e,f,n,t,l,f,c,b,n,e,r,s,y,w,w,o,p,k,y,p
p,x,w,t,p,f,c,n,k,e,e,s,s,w,w,o,p,n,v,u
e,b,w,t,a,f,c,b,n,e,c,s,s,w,w,o,p,n,n,g
e,b,w,t,a,f,c,b,k,e,c,s,s,w,w,o,p,k,s,m
e,b,w,t,l,f,c,b,n,e,c,s,s,w,w,o,p,n,n,g
e,b,w,t,a,f,c,b,w,e,c,s,s,w,w,o,p,k,n,g
e,x,y,t,a,f,c,b,w,e,c,s,s,w,w,o,p,k,s,g
e,b,w,t,l,f,c,b,w,e,c,s,s,w,w,o,p,k,n,m
e,x,y,t,a,f,w,n,n,t,b,s,s,w,w,o,p,n,v,d
e,x,g,f,n,f,c,n,n,e,e,s,s,w,w,o,p,n,y,u
e,f,y,t,a,f,c,b,n,e,r,s,y,w,w,o,p,n,s,g
e,b,w,t,l,f,c,b,n,e,c,s,s,w,w,o,p,k,n,m
e,x,y,t,a,f,c,b,g,e,c,s,s,w,w,o,p,k,s,g
e,x,y,t,a,f,c,b,k,e,c,s,s,w,w,o,p,k,s,g
e,x,w,t,l,f,c,b,w,e,c,s,s,w,w,o,p,n,s,g
e,s,g,f,n,f,c,n,p,e,e,s,s,w,w,o,p,n,v,u
e,x,w,t,a,f,c,b,n,e,c,s,s,w,w,o,p,n,n,m
p,x,w,t,p,f,c,n,k,e,e,s,s,w,w,o,p,k,s,g
e,x,y,t,a,f,c,b,n,e,r,s,y,w,w,o,p,n,s,g
e,f,w,t,a,f,w,n,p,t,b,s,s,w,w,o,p,n,v,d
e,x,w,t,l,f,c,b,g,e,c,s,s,w,w,o,p,k,n,m
e,b,w,t,l,f,c,b,n,e,c,s,s,w,w,o,p,k,s,g
e,x,w,t,a,f,c,b,g,e,c,s,s,w,w,o,p,n,n,g
e,x,y,t,a,f,c,b,g,e,c,s,s,w,w,o,p,n,s,g
p,x,n,t,p,f,c,n,p,e,e,s,s,w,w,o,p,k,v,u
e,b,y,t,a,f,c,b,n,e,c,s,s,w,w,o,p,n,n,g
e,x,g,f,n,f,c,n,n,e,e,s,s,w,w,o,p,k,y,u
p,x,w,t,p,f,c,n,k,e,e,s,s,w,w,o,p,k,s,u
e,x,y,t,l,f,c,b,n,e,r,s,y,w,w,o,p,n,y,p
e,f,n,f,n,f,c,n,k,e,e,s,s,w,w,o,p,k,v,u
e,b,w,t,l,f,c,b,k,e,c,s,s,w,w,o,p,n,n,g
e,x,w,t,l,f,w,n,w,t,b,s,s,w,w,o,p,n,v,d
e,x,w,t,l,f,c,b,w,e,c,s,s,w,w,o,p,k,s,g
e,b,y,t,l,f,c,b,n,e,c,s,s,w,w,o,p,n,s,g
e,x,y,t,l,f,c,b,n,e,r,s,y,w,w,o,p,k,s,g
e,f,y,t,a,f,c,b,p,e,r,s,y,w,w,o,p,k,s,p
e,f,y,t,a,f,c,b,w,e,r,s,y,w,w,o,p,k,y,p
e,x,w,t,l,f,c,b,w,e,c,s,s,w,w,o,p,k,s,g
e,x,w,t,a,f,c,b,w,e,c,s,s,w,w,o,p,n,n,m
p,x,w,t,p,f,c,n,n,e,e,s,s,w,w,o,p,k,v,u
e,f,w,t,a,f,w,n,p,t,b,s,s,w,w,o,p,u,v,d
e,x,w,t,l,f,c,b,w,e,c,s,s,w,w,o,p,n,s,g
e,x,w,t,l,f,w,n,p,t,b,s,s,w,w,o,p,u,v,d
e,x,w,t,a,f,c,b,n,e,c,s,s,w,w,o,p,k,s,m
e,f,y,t,l,f,c,b,w,e,r,s,y,w,w,o,p,k,y,p
e,x,n,f,n,f,w,b,p,t,e,f,s,w,w,o,e,k,s,g
e,f,y,t,a,f,c,b,w,e,r,s,y,w,w,o,p,n,y,g
p,x,n,t,p,f,c,n,p,e,e,s,s,w,w,o,p,n,s,g
e,s,n,f,n,f,c,n,g,e,e,s,s,w,w,o,p,n,v,u
e,b,y,t,l,f,c,b,w,e,c,s,s,w,w,o,p,n,s,m
e,b,w,t,l,f,c,b,n,e,c,s,s,w,w,o,p,n,s,g
e,b,w,t,l,f,c,b,k,e,c,s,s,w,w,o,p,n,n,m
e,f,n,f,n,f,c,n,k,e,e,s,s,w,w,o,p,n,v,u
e,x,w,t,a,f,c,b,w,e,c,s,s,w,w,o,p,k,n,m
e,b,w,t,l,f,c,b,g,e,c,s,s,w,w,o,p,k,n,g
e,b,w,t,a,f,c,b,g,e,c,s,s,w,w,o,p,n,n,m
e,f,n,t,l,f,c,b,w,e,r,s,y,w,w,o,p,n,s,g
p,x,w,t,p,f,c,n,k,e,e,s,s,w,w,o,p,k,v,g
e,x,w,t,a,f,c,b,n,e,c,s,s,w,w,o,p,n,n,g
e,x,w,t,a,f,c,b,n,e,c,s,s,w,w,o,p,n,s,m
e,f,w,t,l,f,w,n,w,t,b,s,s,w,w,o,p,u,v,d
e,f,g,f,n,f,c,n,g,e,e,s,s,w,w,o,p,k,v,u
e,f,g,f,n,f,w,b,p,t,e,s,s,w,w,o,e,k,a,g
e,x,y,t,a,f,c,b,g,e,c,s,s,w,w,o,p,n,s,m
e,b,w,t,a,f,c,b,k,e,c,s,s,w,w,o,p,n,s,m
p,f,n,t,p,f,c,n,w,e,e,s,s,w,w,o,p,k,s,u
e,x,w,t,l,f,c,b,n,e,c,s,s,w,w,o,p,k,n,m
p,f,n,t,p,f,c,n,w,e,e,s,s,w,w,o,p,k,v,u
e,x,w,t,l,f,c,b,k,e,c,s,s,w,w,o,p,n,s,g
e,x,y,t,a,f,c,b,k,e,c,s,s,w,w,o,p,n,n,m
e,f,y,t,a,f,c,b,n,e,r,s,y,w,w,o,p,n,s,p
e,x,n,t,a,f,c,b,w,e,r,s,y,w,w,o,p,n,s,p
e,f,n,t,a,f,c,b,w,e,r,s,y,w,w,o,p,n,y,g
e,x,w,t,a,f,c,b,w,e,c,s,s,w,w,o,p,n,n,m
e,f,n,f,n,f,w,b,h,t,e,s,s,w,w,o,e,k,s,g
e,x,y,t,l,f,c,b,k,e,c,s,s,w,w,o,p,n,n,m
p,x,w,t,p,f,c,n,w,e,e,s,s,w,w,o,p,n,s,g
e,b,y,t,a,f,c,b,n,e,c,s,s,w,w,o,p,n,n,m
e,s,n,f,n,f,c,n,p,e,e,s,s,w,w,o,p,n,v,u
e,x,y,t,l,f,c,b,k,e,c,s,s,w,w,o,p,k,s,m
e,b,w,t,l,f,c,b,n,e,c,s,s,w,w,o,p,k,n,m
e,f,n,t,a,f,c,b,n,e,r,s,y,w,w,o,p,k,s,g
e,b,y,t,a,f,c,b,g,e,c,s,s,w,w,o,p,k,s,m
e,b,w,t,a,f,c,b,g,e,c,s,s,w,w,o,p,k,s,g
e,x,n,t,l,f,c,b,n,e,r,s,y,w,w,o,p,n,y,p
e,f,g,f,n,f,c,n,p,e,e,s,s,w,w,o,p,n,y,u
e,x,g,f,n,f,c,n,g,e,e,s,s,w,w,o,p,k,y,u
e,b,y,t,l,f,c,b,n,e,c,s,s,w,w,o,p,k,s,g
e,x,y,t,l,f,c,b,n,e,c,s,s,w,w,o,p,k,s,m
e,b,w,t,l,f,c,b,k,e,c,s,s,w,w,o,p,n,s,g
e,x,w,t,a,f,c,b,g,e,c,s,s,w,w,o,p,k,s,m
e,b,y,t,a,f,c,b,g,e,c,s,s,w,w,o,p,n,n,m
e,x,y,t,a,f,c,b,k,e,c,s,s,w,w,o,p,k,s,m
e,x,g,f,n,f,w,b,p,t,e,f,f,w,w,o,e,k,s,g
e,f,y,t,a,f,w,n,p,t,b,s,s,w,w,o,p,n,v,d
p,x,w,t,p,f,c,n,p,e,e,s,s,w,w,o,p,k,s,g
e,x,w,f,n,f,w,b,k,t,e,f,s,w,w,o,e,k,a,g
e,b,w,t,a,f,c,b,w,e,c,s,s,w,w,o,p,k,s,g
e,x,y,t,l,f,w,n,w,t,b,s,s,w,w,o,p,n,v,d
e,b,w,t,a,f,c,b,n,e,c,s,s,w,w,o,p,k,s,g
e,x,w,t,l,f,c,b,g,e,c,s,s,w,w,o,p,k,s,g
e,x,n,t,n,f,c,b,p,t,b,s,s,g,p,o,p,n,y,d
e,b,w,t,l,f,c,b,k,e,c,s,s,w,w,o,p,n,s,m
e,x,y,t,l,f,c,b,g,e,c,s,s,w,w,o,p,n,n,m
e,f,n,t,a,f,c,b,p,e,r,s,y,w,w,o,p,k,y,g
e,x,w,f,n,f,w,b,n,t,e,s,s,w,w,o,e,n,s,g
e,x,y,t,l,f,c,b,w,e,c,s,s,w,w,o,p,k,s,g
p,x,w,t,p,f,c,n,n,e,e,s,s,w,w,o,p,n,v,g
e,x,y,t,l,f,c,b,n,e,c,s,s,w,w,o,p,k,s,g
e,x,w,t,a,f,w,n,p,t,b,s,s,w,w,o,p,n,v,d
e,b,y,t,a,f,c,b,g,e,c,s,s,w,w,o,p,n,n,g
p,x,w,t,p,f,c,n,k,e,e,s,s,w,w,o,p,k,v,u
e,x,y,t,a,f,w,n,w,t,b,s,s,w,w,o,p,n,v,d
e,x,w,t,a,f,c,b,k,e,c,s,s,w,w,o,p,k,n,m
e,x,w,t,l,f,w,n,n,t,b,s,s,w,w,o,p,n,v,d
e,f,w,t,l,f,w,n,w,t,b,s,s,w,w,o,p,n,v,d
e,x,y,t,l,f,c,b,k,e,c,s,s,w,w,o,p,n,s,m
e,f,y,t,a,f,w,n,w,t,b,s,s,w,w,o,p,u,v,d
e,x,w,t,a,f,c,b,w,e,c,s,s,w,w,o,p,k,s,g
e,b,y,t,a,f,c,b,n,e,c,s,s,w,w,o,p,k,s,m
e,x,n,t,l,f,c,b,p,e,r,s,y,w,w,o,p,n,s,p
e,b,w,t,l,f,c,b,k,e,c,s,s,w,w,o,p,k,n,g
e,x,y,t,a,f,c,b,n,e,c,s,s,w,w,o,p,n,s,m
p,x,n,t,p,f,c,n,n,e,e,s,s,w,w,o,p,n,v,u
e,b,y,t,l,f,c,b,w,e,c,s,s,w,w,o,p,k,n,g
e,b,w,t,a,f,c,b,g,e,c,s,s,w,w,o,p,k,n,g
p,x,n,t,p,f,c,n,w,e,e,s,s,w,w,o,p,k,v,u
e,b,w,t,l,f,c,b,n,e,c,s,s,w,w,o,p,k,s,m
e,b,y,t,l,f,c,b,w,e,c,s,s,w,w,o,p,n,n,m
e,b,y,t,a,f,c,b,n,e,c,s,s,w,w,o,p,k,s,g
e,x,w,t,l,f,c,b,g,e,c,s,s,w,w,o,p,n,n,g
e,x,n,t,n,f,c,b,p,t,b,s,s,p,w,o,p,k,y,d
e,x,n,t,a,f,c,b,w,e,r,s,y,w,w,o,p,k,y,g
e,b,y,t,l,f,c,b,n,e,c,s,s,w,w,o,p,n,s,g
e,x,g,f,n,f,c,n,g,e,e,s,s,w,w,o,p,n,v,u
e,x,n,t,l,f,c,b,n,e,r,s,y,w,w,o,p,k,y,g
e,x,w,t,a,f,c,b,k,e,c,s,s,w,w,o,p,n,s,g
e,b,w,t,a,f,c,b,n,e,c,s,s,w,w,o,p,k,n,g
e,x,y,t,a,f,c,b,g,e,c,s,s,w,w,o,p,k,s,m
