Variance_Wavelet,Skewness_Wavelet,Curtosis_Wavelet,Class
-3.38,-0.7077,2.5325,1
3.884,10.0277,-3.9298,0
0.74054,0.36625,2.1992,0
3.7982,10.423,-4.1602,0
3.931,1.8541,-0.023425,0
4.7181,10.0153,-3.9486,0
-1.8219,-6.8824,5.4681,1
-0.95923,0.091039,6.2204,0
1.581,0.86909,-2.3138,1
-0.74324,-0.32902,-0.42785,1
3.9663,10.1684,-4.1131,0
-3.0061,-12.2377,11.9552,1
1.2999,2.5762,2.0107,0
3.7831,10.0526,-3.8869,0
5.2418,10.5388,-4.1174,0
-2.2804,-0.30626,1.3347,1
-3.7747,2.5162,0.83341,1
2.9421,7.4101,-0.97709,0
3.9771,11.1513,-3.9272,0
-2.6864,-0.097265,0.61663,1
-0.36372,3.0439,-3.4816,1
-0.76794,3.4598,-3.4405,1
-1.6029,-0.38903,1.62,1
4.1736,3.3336,-1.4244,0
3.3577,-4.3062,6.0241,0
2.5503,-4.9518,6.3729,0
3.4465,2.9508,1.0271,0
3.8999,1.734,1.6011,0
2.614,8.0081,-3.7258,0
-2.0662,0.16967,-1.0054,1
4.0948,-2.9674,2.3689,0
1.6032,-4.7863,8.5193,0
3.1896,5.7526,-0.18537,0
1.5478,9.1814,-1.6326,0
-0.89409,3.1991,-1.8219,1
-2.2153,11.9625,0.078538,0
-0.98193,2.7956,-1.2341,1
0.7057,-5.4981,8.3368,0
0.38478,6.5989,-0.3336,0
0.84546,3.4826,-3.6307,1
-0.2361,9.3221,2.1307,0
0.39559,6.8866,1.0588,0
2.8237,2.8597,0.19678,0
-2.9821,4.1986,-0.5898,1
-3.5741,3.944,-0.07912,1
2.6881,6.0195,-0.46641,0
-0.11996,6.8741,0.91995,0
-2.484,12.1611,2.8204,0
-1.3946,2.3134,-0.44499,1
-0.539,-5.167,3.4399,1
-1.5055,0.070346,6.8681,0
-0.59587,2.4811,-2.8673,1
-3.1366,0.42212,2.6225,1
-2.5899,-0.3911,0.93452,1
0.83625,1.1071,-2.4706,1
-1.6176,1.0926,-0.35502,1
0.64215,3.1287,4.2933,0
-1.6952,1.0657,8.8294,0
-0.071503,3.7412,-4.5415,1
0.91315,3.3377,-4.0557,1
4.2458,1.1981,0.66633,0
-0.89569,3.0025,-3.6067,1
4.1349,6.1189,-2.4294,0
2.7831,10.9796,-3.557,0
0.24261,0.57318,-1.9402,1
-1.3968,-9.6698,9.4652,1
3.5499,8.6165,-3.2794,0
2.2034,5.9947,0.53009,0
-0.87834,3.257,-3.6778,1
-1.8439,-8.6475,7.6796,1
-1.979,3.2301,-1.3575,1
2.4527,2.9653,0.20021,0
-1.3389,1.552,7.0806,0
-1.4233,-0.98912,2.3586,1
0.87603,6.8141,0.84198,0
4.3435,3.3295,0.83598,0
-0.0012852,0.13863,-0.19651,1
-2.3797,-1.4402,1.1273,1
-6.0598,9.2952,-0.43642,1
2.9163,10.8306,-3.3437,0
-5.3857,9.1214,-0.41929,1
5.6084,10.3009,-4.8003,0
1.1432,-3.7413,5.5777,0
-2.588,3.8654,-0.3336,1
-3.9297,-6.0816,10.0958,1
2.8521,9.171,-3.6461,0
3.8644,3.7061,0.70403,0
2.1721,-0.73874,5.4672,0
-2.0149,3.6874,-1.9385,1
-4.2333,4.9166,-0.49212,1
0.5734,9.1938,-0.9094,0
1.5456,8.5482,0.4187,0
-3.8552,3.5219,-0.38415,1
-0.2951,9.0489,-0.52725,0
-0.11716,0.60422,-0.38587,1
0.5706,-0.0248,1.2421,0
5.8782,5.9409,-2.8544,0
-1.8584,7.886,-1.6643,0
3.7022,6.9942,-1.8511,0
3.8969,7.4163,-1.8245,0
-4.8392,6.6755,-0.24278,1
-0.28696,3.1784,-3.5767,1
3.5458,9.3718,-4.0351,0
-2.0441,1.2271,0.18564,1
-3.3125,0.10139,0.55323,1
0.3292,-4.4552,4.5718,0
